PMJ;S/N;gmag;Teff;e_Teff;logg;e_logg;Type;Teff(3D);e_Teff(3D);logg(3D);e_logg(3D);Mass;e_Mass
4859-55684-0366;  8;20.21; 10638;   80; 8.133; 0.012;DA                ; 10633;   80; 7.880; 0.010; 0.539; 0.0050
5468-56014-0682;  2;21.83; 11610;  907; 8.000; 0.450;DA                ; 11793;  907; 7.850; 0.450; 0.528; 0.2060
6016-56073-0246; 26;18.47; 10090;   22; 9.330; 0.500;DA                ; 10049;   22; 9.040; 0.500; 1.181; 0.1980
4780-55682-0032;  1;21.73; 12380; 2180; 8.738; 0.347;DA                ; 12603; 2180; 8.570; 0.350; 0.951; 0.1980
4021-55620-0394; 13;19.55; 10439;   74; 7.537; 0.086;DA                ; 10426;   74; 7.290; 0.090; 0.326; 0.0250
3865-55272-0780;  2;21.98; 10452;  341; 8.416; 0.371;DA                ; 10412;  341; 8.130; 0.370; 0.674; 0.2030
6016-56073-0800;  2;21.72; 10080;  241; 8.075; 0.377;DA                ; 10035;  241; 7.810; 0.380; 0.520; 0.1710
3865-55272-0224;  4;21.26; 10436;  210; 7.841; 0.265;DA                ; 10410;  210; 7.590; 0.270; 0.425; 0.0970
5899-56038-0078;  2;21.79; 10447;  450; 8.232; 0.480;DA                ; 10410;  450; 7.960; 0.480; 0.580; 0.2410
3865-55272-0262;  3;21.68; 11408;  273; 7.655; 0.239;DA                ; 11512;  273; 7.540; 0.240; 0.410; 0.0870
5468-56014-0114;  4;21.12; 10399;  218; 7.917; 0.221;DA                ; 10368;  218; 7.660; 0.220; 0.455; 0.0830
5904-56046-0698;  3;22.01; 11285;  395; 8.718; 0.238;DA                ; 11345;  395; 8.490; 0.240; 0.899; 0.1400
3865-55272-0838;  8;20.63; 11040;  155; 8.389; 0.097;DA                ; 11081;  155; 8.150; 0.100; 0.687; 0.0580
5173-56046-0235;  2;21.91; 10372;  375; 8.380; 0.342;DA                ; 10331;  375; 8.100; 0.340; 0.657; 0.1850
6021-56067-0547;  2;21.98; 11213;  703; 8.976; 0.329;DA                ; 11231;  703; 8.760; 0.330; 1.046; 0.1690
5904-56046-0098;  2;21.73; 12311;  800; 8.180; 0.390;DA                ; 12595;  800; 8.060; 0.390; 0.639; 0.2030
5472-55976-0914;  3;21.96; 10877;  309; 8.376; 0.143;DA                ; 10892;  309; 8.130; 0.140; 0.675; 0.0820
5475-56011-0596;  5;20.70; 11586;  445; 8.015; 0.139;DA                ; 11768;  445; 7.860; 0.140; 0.533; 0.0590
5474-56036-0302;  4;21.21; 10595;  107; 8.803; 0.206;DA                ; 10560;  107; 8.560; 0.210; 0.942; 0.1200
3874-55280-0102;  3;21.39; 10481;  317; 8.001; 0.135;DA                ; 10449;  317; 7.740; 0.140; 0.488; 0.0530
5474-56036-0314;  2;21.81; 10873;  513; 9.008; 0.320;DA                ; 10860;  513; 8.800; 0.320; 1.068; 0.1590
5903-56064-0794;  1;21.76; 10880;  717; 8.332; 0.513;DA                ; 10901;  717; 8.090; 0.510; 0.652; 0.2700
6021-56067-0728; 24;18.63; 14996;  169; 8.434; 0.024;DA                ; 14996;  169; 8.430; 0.020; 0.866; 0.0130
5473-56033-0874;  2;21.92; 10664;  441; 7.582; 0.500;DA                ; 10673;  441; 7.370; 0.500; 0.350; 0.1470
6024-56088-0522;  2;21.70; 11263; 1284; 7.300; 0.570;DA                ; 11309; 1284; 7.250; 0.570; 0.321; 0.1590
5905-56065-0280;  7;20.06; 11116;   60; 8.038; 0.117;DA                ; 11221;   60; 7.840; 0.120; 0.524; 0.0500
4018-55622-0178;  4;21.27; 10641;  257; 8.537; 0.155;DA                ; 10615;  257; 8.260; 0.150; 0.754; 0.0920
5475-56011-0861;  2;21.72; 10653;  444; 8.531; 0.378;DA                ; 10629;  444; 8.260; 0.380; 0.754; 0.2230
5905-56065-0176;  3;21.67; 13179; 1468; 8.560; 0.224;DA                ; 13536; 1468; 8.450; 0.220; 0.878; 0.1310
5476-55986-0802; 34;17.76; 10569;   26; 8.995; 0.022;DA                ; 10528;   26; 8.780; 0.020; 1.057; 0.0110
5174-56047-0200;  2;21.97; 10628;  413; 7.877; 0.479;DA                ; 10629;  413; 7.640; 0.480; 0.447; 0.1870
5174-56047-0914;  2;21.83; 10563;  515; 8.988; 0.403;DA                ; 10521;  515; 8.770; 0.400; 1.051; 0.2030
5478-56014-0228;  6;20.53; 10432;   24; 7.822; 0.134;DA                ; 10407;   24; 7.570; 0.130; 0.416; 0.0500
3870-55273-0814;  2;21.99; 10143;  366; 7.620; 0.339;DA                ; 10115;  366; 7.360; 0.340; 0.343; 0.1040
5168-56035-0438; 19;18.46; 10172;   42; 8.416; 0.051;DA                ; 10125;   42; 8.140; 0.050; 0.679; 0.0290
3877-55365-0592;  9;20.55; 10451;  106; 8.314; 0.101;DA                ; 10413;  106; 8.040; 0.100; 0.623; 0.0550
3875-55364-0072;  2;21.55; 12040;  926; 7.870; 0.420;DA                ; 12277;  926; 7.790; 0.420; 0.518; 0.1780
6054-56089-0598;  4;21.49; 10782;  262; 9.029; 0.213;DA                ; 10761;  262; 8.820; 0.210; 1.079; 0.1020
5483-56017-0448;  2;21.63; 10204;  395; 8.241; 0.426;DA                ; 10161;  395; 7.970; 0.430; 0.584; 0.2180
5481-55983-0274;  9;20.35; 12720;  352; 7.580; 0.075;DA                ; 13004;  352; 7.580; 0.070; 0.433; 0.0260
3877-55365-0622;  2;21.95; 10813;  341; 8.852; 0.281;DA                ; 10798;  341; 8.630; 0.280; 0.983; 0.1560
5168-56035-0316;  6;20.59; 10314;  133; 8.130; 0.143;DA                ; 10275;  133; 7.860; 0.140; 0.528; 0.0610
4016-55632-0720;  2;21.55; 10872;  747; 7.309; 0.301;DA                ; 10865;  747; 7.190; 0.300; 0.301; 0.0700
3876-55245-0390;  8;20.35; 10849;   74; 8.334; 0.111;DA                ; 10865;   74; 8.090; 0.110; 0.652; 0.0610
5167-56066-0640;  4;21.08; 11732;  497; 8.186; 0.173;DA                ; 11917;  497; 8.030; 0.170; 0.621; 0.0900
5483-56017-0758;  3;21.72; 10721;  268; 8.472; 0.358;DA                ; 10707;  268; 8.200; 0.360; 0.714; 0.2090
6054-56089-0842;  5;21.21; 10546;  189; 8.831; 0.178;DA                ; 10505;  189; 8.590; 0.180; 0.961; 0.1010
5485-56063-0334;  5;20.94; 11000;  387; 8.007; 0.173;DA                ; 11088;  387; 7.810; 0.170; 0.522; 0.0700
3956-55656-0418;  1;22.06; 11833; 1424; 8.420; 0.401;DA                ; 12029; 1424; 8.240; 0.400; 0.742; 0.2300
5483-56017-0896;  1;21.93; 11778;  614; 7.171; 0.350;DA                ; 11933;  614; 7.200; 0.350; 0.310; 0.0860
3876-55245-0850; 11;20.06; 11721;  208; 8.340; 0.065;DA                ; 11904;  208; 8.160; 0.070; 0.695; 0.0390
5167-56066-0734;  3;21.37; 12456; 1566; 7.976; 0.223;DA                ; 12806; 1566; 7.890; 0.220; 0.550; 0.0950
4017-55329-0774;  7;20.29; 10302;  124; 8.342; 0.117;DA                ; 10260;  124; 8.070; 0.120; 0.640; 0.0670
3956-55656-0738;  7;20.48; 10183;  112; 8.288; 0.125;DA                ; 10138;  112; 8.020; 0.120; 0.612; 0.0660
6019-56074-0074;  2;21.58; 10060;  488; 9.150; 0.360;DA                ; 10020;  488; 8.850; 0.360; 1.094; 0.1720
4013-55629-0085;  2;21.91; 11422;  999; 8.460; 0.329;DA                ; 11552;  999; 8.250; 0.330; 0.748; 0.1950
5486-56030-0237; 20;19.10; 10682;   48; 8.696; 0.038;DA                ; 10658;   48; 8.450; 0.040; 0.874; 0.0250
5486-56030-0820;  2;21.91; 10066;  363; 7.376; 0.570;DA                ; 10032;  363; 7.120; 0.570; 0.279; 0.1850
6048-56072-0240;  1;22.07; 12088;  939; 7.377; 0.301;DA                ; 12377;  939; 7.380; 0.300; 0.362; 0.0930
3955-55678-0564;  3;21.19; 10297;  419; 7.878; 0.282;DA                ; 10265;  419; 7.620; 0.280; 0.437; 0.1030
5486-56030-1000;  8;20.14; 11151;  167; 8.098; 0.101;DA                ; 11256;  167; 7.900; 0.100; 0.551; 0.0410
4775-55708-0276; 19;19.20; 14668;  216; 8.050; 0.033;DA                ; 14668;  216; 8.050; 0.030; 0.638; 0.0160
5489-55990-0772;  4;20.92; 10791;  171; 8.183; 0.193;DA                ; 10812;  171; 7.940; 0.190; 0.571; 0.0900
3851-55302-0260;  4;21.45; 10383;  199; 7.648; 0.248;DA                ; 10363;  199; 7.400; 0.250; 0.357; 0.0810
3961-55654-0078;  2;21.95; 11675;  841; 9.180; 0.300;DA                ; 11724;  841; 8.950; 0.300; 1.143; 0.1310
3950-55680-0290; 21;18.94; 13902;  199; 8.588; 0.030;DA                ; 14441;  199; 8.530; 0.030; 0.927; 0.0180
4803-55734-0484; 25;18.76; 13558;  108; 8.044; 0.033;DA                ; 14164;  108; 8.010; 0.030; 0.615; 0.0160
5491-56034-0316;  2;21.82; 10512;  381; 8.960; 0.269;DA                ; 10466;  381; 8.740; 0.270; 1.035; 0.1410
3879-55244-0336;  5;21.58; 10520;   55; 8.229; 0.188;DA                ; 10488;   55; 7.960; 0.190; 0.580; 0.0920
3954-55680-0552;  3;21.54; 10482;  251; 8.461; 0.126;DA                ; 10442;  251; 8.170; 0.130; 0.698; 0.0780
6049-56091-0637;  2;21.56; 12255; 1754; 8.247; 0.231;DA                ; 12521; 1754; 8.120; 0.230; 0.672; 0.1290
3960-55663-0160;  3;21.56; 11495;  565; 8.285; 0.241;DA                ; 11656;  565; 8.090; 0.240; 0.654; 0.1350
3954-55680-0688;  3;21.52; 10979;  317; 8.398; 0.256;DA                ; 11005;  317; 8.160; 0.260; 0.693; 0.1520
4889-55709-0104; 28;18.36; 14534;  174; 8.627; 0.022;DA                ; 14534;  174; 8.630; 0.020; 0.985; 0.0080
3944-55660-0458;  1;22.30; 10547; 2200; 7.036; 0.210;DA                ; 10448; 2200; 6.860; 0.210; 0.233; 0.0280
3938-55328-0594;  8;20.48; 10564;   47; 8.422; 0.127;DA                ; 10534;   47; 8.140; 0.130; 0.680; 0.0770
3944-55660-0268;  2;21.95; 10945;  616; 7.820; 0.540;DA                ; 11008;  616; 7.630; 0.540; 0.445; 0.2090
5493-56009-0946;  2;21.67; 12716; 2677; 7.761; 0.309;DA                ; 13075; 2677; 7.730; 0.310; 0.493; 0.1170
3949-55650-0884;  2;21.78; 12464; 1592; 8.049; 0.417;DA                ; 12805; 1592; 7.950; 0.420; 0.581; 0.2020
5209-56002-0164;  2;21.93; 11192;  513; 9.364; 0.354;DA                ; 11206;  513; 9.150; 0.350; 1.223; 0.1240
6041-56102-0371;  5;20.96; 11323;  341; 8.180; 0.200;DA                ; 11454;  341; 7.990; 0.200; 0.598; 0.0970
4977-56047-0380;  6;20.64; 11695;  250; 8.314; 0.010;DA                ; 11875;  250; 8.140; 0.010; 0.683; 0.0050
4010-55350-0185;  2;22.16; 11809;  892; 8.369; 0.288;DA                ; 12002;  892; 8.190; 0.290; 0.711; 0.1690
3949-55650-0974;  3;21.33; 10840;  319; 7.909; 0.365;DA                ; 10886;  319; 7.700; 0.360; 0.472; 0.1460
3933-55335-0574; 21;19.16; 10301;   40; 8.596; 0.041;DA                ; 10256;   40; 8.320; 0.040; 0.792; 0.0230
5206-56033-0431;  2;22.02; 10622;  455; 8.915; 0.425;DA                ; 10587;  455; 8.690; 0.420; 1.009; 0.2230
3953-55322-0836;  4;20.67; 10936;  250; 8.849; 0.203;DA                ; 10933;  250; 8.630; 0.200; 0.983; 0.1110
6050-56089-0421;  3;21.52; 10612;  354; 7.572; 0.239;DA                ; 10614;  354; 7.350; 0.240; 0.343; 0.0710
4805-55715-0892;  2;21.73; 10257;  390; 8.675; 0.378;DA                ; 10212;  390; 8.400; 0.380; 0.842; 0.2220
